"Date","Game","Team","Opponent","Home","Win","TeamGroup","OppGroup","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8"
"2014-10-29","1","ATL","TOR","0","0","3","4",-0.450449394410717,-1.78147476714298,0.687030802465225,-0.521348916232092,2.22864086717796,1.37759427342297,2.34194608106428,0.302243293215842
"2014-11-01","2","ATL","IND","1","1","3","2",0.764999306460654,-1.08355794170368,0.556317288111982,2.22910072736934,-0.230027935237281,-0.629728745858372,0.163932248001304,0.90165255727749
"2014-11-05","3","ATL","SAS","0","0","3","4",-0.823920225398093,0.631491815828393,1.44982459252083,2.13336361138225,-0.845239790147108,1.07844186680931,0.0380568702005115,-0.00383168900624424
"2014-11-07","4","ATL","CHO","0","0","3","3",0.311334538683803,0.415355105813324,2.23503285988759,1.31872083689039,0.639958307858303,-1.60618526118531,2.88451683258536,0.835810674774937
"2014-11-08","5","ATL","NYK","1","1","3","1",-0.327560119174129,1.30107394986218,-0.832375785021475,1.68193423592879,-1.26430830879332,-0.505848612195324,1.21806966571165,0.464812167656381
"2014-11-10","6","ATL","NYK","0","1","3","1",-0.206418635323278,-0.050956670600847,-0.283449382781972,0.506562092298224,-0.128841204786848,-1.45840018018357,-0.71882969406299,-0.313727561177914
"2014-11-12","7","ATL","UTA","1","1","3","2",1.19480745712303,-0.353823734839782,0.766701378635843,-2.71267484931664,-0.110421782600329,1.95451089916201,-0.253040232062379,-1.78317088469867
"2014-11-14","8","ATL","MIA","1","1","3","2",4.08777531327477,-1.06775942140519,1.05723334485523,0.0709463029735566,-0.214994576348312,0.0454754136158175,-0.490821393731051,1.12452329936019
"2014-11-18","10","ATL","LAL","1","0","3","1",1.12546128214063,0.506359730581908,-0.726889483084588,0.507464276223421,0.281009301377039,-0.606481658602235,0.80699775715332,-1.22454509927644
"2014-11-29","15","ATL","CHO","1","1","3","3",0.791611588846919,-3.90309022932551,-1.35155051969266,0.744401858118081,-0.738033572034261,0.59742336000733,-0.574004253021933,0.0480411654464343
"2014-12-02","16","ATL","BOS","1","1","3","3",3.84470953052952,-0.643871478002467,1.83456310402588,1.48278129811724,0.751874185251756,2.03632150822937,0.0728874593429822,1.21396938687789
"2014-12-05","18","ATL","BRK","0","1","3","1",-1.67410611067406,-1.66912156157756,-0.152267643900099,2.03075008391107,-1.43461306866646,-1.22726964932708,-0.431113318516183,-2.17251225022561
"2014-12-07","19","ATL","DEN","1","1","3","3",-1.76418754106987,-1.06705695829205,-0.00115276116109799,1.16415850768034,0.458162180972683,0.957109142274866,-0.234535530262981,-0.360176611733648
"2014-12-08","20","ATL","IND","0","1","3","2",0.715232810779936,-1.84093902275913,1.09293835809013,0.466456533020202,-0.874647339977517,0.107205962409745,0.749172523727765,-1.78835146912103
"2014-12-10","21","ATL","PHI","1","1","3","1",-1.4807166523215,0.486870844716435,1.74533523423978,-0.95872397810099,-2.85285689190042,1.55808643566609,-0.687285719787654,-1.58406373695694
"2014-12-12","22","ATL","ORL","1","1","3","1",-0.957064789082356,-0.11291973300456,-0.0629399445834511,2.09748545278258,-1.62338244735805,-1.04800803071353,-1.48589952761328,-0.756342439913601
"2014-12-17","25","ATL","CLE","0","1","3","4",4.09836702653494,-4.08241070087092,-2.52357574575319,-0.200592062061065,-0.352191179843448,0.290486597033664,0.72421237062071,-0.115842841853694
"2014-12-22","27","ATL","DAL","0","1","3","2",-0.0415046619522348,-0.996798076625452,1.17173543224136,0.0816730074109493,1.67664093590661,0.284030585600099,1.01975341104547,-0.919375436822176
"2014-12-23","28","ATL","LAC","1","1","3","4",-0.115298692574689,-1.08467803818937,-0.169099763226776,0.279661398158271,1.62782027179083,0.607566831152281,1.66701887612093,-0.258841307811688
"2014-12-26","29","ATL","MIL","1","0","3","2",0.658708524001968,2.29566379246379,2.38695304459462,-1.35187901734183,1.7986849880056,0.128105680583175,-1.60956852229198,0.2581757260726
"2014-12-30","31","ATL","CLE","1","1","3","4",0.546284939596568,-0.679018172568491,2.06844285367982,0.823417545112145,-0.31605499653974,-0.171649355194517,0.0768920339865726,-1.08865451066342
"2015-01-02","32","ATL","UTA","0","1","3","2",-2.17912346195717,-0.184533839557552,-0.91035207557198,1.06276959762729,-0.518124479459404,0.846988858367519,-0.705938033085599,0.690883063054173
"2015-01-03","33","ATL","POR","0","1","3","3",-0.0441734621865042,0.442337345808784,0.410494800269479,0.583668238264599,-0.612084540982733,0.316406601802299,-0.235599647045078,0.436583642326374
"2015-01-05","34","ATL","LAC","0","1","3","4",0.409124740174865,-0.269434917981792,1.43576869699416,1.90224487212061,-1.81333129483764,-0.997645975419533,0.503278672639887,-0.705114342915998
"2015-01-07","35","ATL","MEM","1","1","3","1",1.04016345958679,-0.55073261615455,2.98324400861737,1.21510944373816,-1.37420411659393,-0.00635184485531076,-2.49842476302933,1.16206394316377
"2015-01-09","36","ATL","DET","0","1","3","1",0.452050909466648,-1.64487324646057,-1.72463774686608,-1.00684700533968,1.46960258086962,0.781372737202056,-0.27548389205053,-1.15417022235121
"2015-01-11","37","ATL","WAS","1","1","3","3",1.57791685981025,-0.687001193898848,0.39255428918123,1.15123705847129,-3.26207959276861,1.98258438302034,-0.428567399272725,0.519042644934787
"2015-01-14","39","ATL","BOS","0","1","3","3",0.888488096492014,-1.23408311437323,0.372412376066077,2.19614795278144,-0.574511530973851,0.072027953925552,-1.51518467723236,0.80756906244211
