"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2014-12-19,24,"BOS","MIN","1","1",135,100,3,3
2014-12-21,25,"BOS","MIA","0","0",83,113,3,2
2014-12-23,26,"BOS","ORL","0","0",101,109,3,1
2014-12-26,27,"BOS","BRK","1","0",112,128,3,1
2014-12-27,28,"BOS","WAS","0","0",87,114,3,3
2014-12-31,29,"BOS","SAC","1","1",129,74,3,2
2015-01-02,30,"BOS","DAL","1","0",99,139,3,2
2015-01-03,31,"BOS","CHI","0","0",90,124,3,2
2015-01-05,32,"BOS","CHO","1","0",86,124,3,3
2015-01-07,33,"BOS","BRK","0","1",86,95,3,1
2015-01-09,34,"BOS","IND","0","0",100,122,3,2
2015-01-10,35,"BOS","TOR","0","0",91,128,3,4
2015-01-12,36,"BOS","NOP","1","1",116,106,3,4
2015-01-14,37,"BOS","ATL","1","0",75,139,3,3
2015-01-16,38,"BOS","CHI","1","0",120,149,3,2
2015-01-19,39,"BOS","LAC","0","0",88,129,3,4
2015-01-22,40,"BOS","POR","0","1",95,94,3,3
2015-01-23,41,"BOS","DEN","0","1",106,105,3,3
2015-01-25,42,"BOS","GSW","0","0",110,137,3,4
2015-01-26,43,"BOS","UTA","0","1",108,86,3,2
2015-01-28,44,"BOS","MIN","0","0",93,136,3,3
2015-01-30,45,"BOS","HOU","1","0",77,105,3,4
2015-02-01,46,"BOS","MIA","1","0",68,94,3,2
2015-02-03,47,"BOS","NYK","0","1",126,98,3,1
2015-02-04,48,"BOS","DEN","1","1",110,115,3,3
2015-02-06,49,"BOS","PHI","1","1",128,95,3,1
2015-02-07,50,"BOS","MIL","0","0",93,112,3,2
2015-02-11,51,"BOS","ATL","1","1",92,103,3,3
2015-02-20,52,"BOS","SAC","0","0",91,132,3,2
2015-02-22,53,"BOS","LAL","0","0",112,126,3,1
2015-02-23,54,"BOS","PHO","0","1",128,117,3,1
2015-02-25,55,"BOS","NYK","1","1",130,101,3,1
2015-02-27,56,"BOS","CHO","1","1",119,108,3,3
2015-03-01,57,"BOS","GSW","1","0",101,120,3,4
2015-03-03,58,"BOS","CLE","0","0",68,149,3,4
2015-03-04,59,"BOS","UTA","1","1",81,97,3,2
2015-03-06,60,"BOS","NOP","0","1",104,116,3,4
