"Date","Game","Team","Opponent","Home","Win","FieldGoals.","X3PointShots.","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals.","Opp.3PointShots.","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls","TeamGroup","OppGroup"
2015-02-04,50,"ATL","WAS","1","1",0.475,0.44,0.667,9,46,24,7,2,14,22,0.442,0.25,0.8,5,41,19,7,2,12,24,3,3
2015-02-06,51,"ATL","GSW","1","1",0.494,0.556,0.892,4,38,28,13,4,13,19,0.456,0.364,0.667,19,51,31,7,7,14,24,3,4
2015-02-09,53,"ATL","MIN","0","1",0.512,0.476,0.95,10,36,26,14,6,10,21,0.452,0.313,0.727,23,50,24,6,8,16,19,3,3
2015-02-20,55,"ATL","TOR","1","0",0.33,0.211,0.667,17,52,19,6,8,22,10,0.448,0.433,0.75,15,52,27,15,9,13,20,3,4
2015-02-22,56,"ATL","MIL","0","1",0.402,0.3,0.857,16,43,23,10,7,20,17,0.444,0.25,1,8,38,19,10,7,24,24,3,2
2015-02-27,58,"ATL","ORL","1","1",0.444,0.452,0.75,11,42,27,11,5,18,12,0.45,0.346,0.538,10,40,22,10,7,17,17,3,1
2015-03-03,60,"ATL","HOU","1","1",0.453,0.276,0.857,9,49,23,3,6,15,13,0.433,0.341,0.444,8,41,30,6,6,12,21,3,4
2015-03-07,62,"ATL","PHI","0","0",0.39,0.44,0.813,5,42,20,8,9,19,14,0.368,0.351,0.529,17,55,24,14,3,16,12,3,1
2015-03-11,64,"ATL","DEN","0","0",0.42,0.333,0.926,8,32,18,11,3,17,18,0.5,0.419,0.9,11,44,28,8,9,19,20,3,3
2015-03-13,65,"ATL","PHO","0","1",0.47,0.444,0.833,7,38,22,11,6,11,20,0.41,0.385,0.619,11,45,19,7,6,18,14,3,1
2015-03-20,69,"ATL","OKC","0","0",0.5,0.448,0.8,7,34,20,9,4,11,16,0.512,0.433,0.923,10,44,26,6,6,12,19,3,4
2015-03-25,71,"ATL","ORL","0","1",0.433,0.323,0.7,12,45,21,9,8,13,17,0.41,0.188,0.8,10,42,19,7,3,17,14,3,1
2015-03-27,72,"ATL","MIA","1","1",0.514,0.333,0.792,5,38,31,12,4,16,13,0.39,0.314,0.733,11,41,20,9,6,18,20,3,2
2015-03-28,73,"ATL","CHO","0","0",0.43,0.5,0.786,7,36,32,6,4,10,17,0.525,0.462,0.864,7,42,28,4,6,8,16,3,3
2015-03-31,75,"ATL","DET","0","0",0.476,0.32,0.7,12,43,25,8,0,17,14,0.494,0.379,0.706,9,38,26,11,6,11,14,3,1
2015-04-07,77,"ATL","PHO","1","1",0.494,0.16,0.714,8,54,21,9,4,15,17,0.313,0.2,0.722,9,37,16,5,6,15,9,3,1
2015-04-08,78,"ATL","BRK","0","1",0.5,0.393,0.68,10,40,35,11,4,11,18,0.471,0.269,0.88,14,47,27,7,4,12,20,3,1
2015-04-10,79,"ATL","CHO","1","1",0.5,0.357,0.75,9,44,31,10,4,13,18,0.361,0.267,0.667,12,46,21,8,3,13,15,3,3
2015-04-13,81,"ATL","NYK","1","0",0.443,0.344,0.826,12,37,27,10,3,8,17,0.558,0.52,0.684,9,39,33,7,7,17,19,3,1
