"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-03-11,63,"BOS","MEM","1","1",106,99,3,1
2015-03-13,64,"BOS","ORL","1","1",92,90,3,1
2015-03-14,65,"BOS","IND","0","1",116,77,3,2
2015-03-20,68,"BOS","SAS","0","0",84,136,3,4
2015-03-23,70,"BOS","BRK","0","1",122,98,3,1
2015-03-25,71,"BOS","MIA","1","0",85,94,3,2
2015-03-27,72,"BOS","NYK","0","1",112,81,3,1
2015-03-29,73,"BOS","LAC","1","0",101,149,3,4
2015-04-01,75,"BOS","IND","1","1",121,83,3,2
2015-04-03,76,"BOS","MIL","1","0",98,135,3,2
2015-04-08,78,"BOS","DET","0","1",133,111,3,1
2015-04-10,79,"BOS","CLE","0","1",114,91,3,4
2014-10-29,1,"BRK","BOS","0","0",109,130,1,3
2014-11-01,2,"BRK","DET","0","1",108,102,1,1
2014-11-03,3,"BRK","OKC","1","1",140,75,1,4
2014-11-05,4,"BRK","MIN","1","0",86,111,1,3
2014-11-07,5,"BRK","NYK","1","1",122,96,1,1
2014-11-09,6,"BRK","ORL","1","1",128,94,1,1
2014-11-12,7,"BRK","PHO","0","0",101,122,1,1
2014-11-13,8,"BRK","GSW","0","0",86,137,1,4
2014-11-17,10,"BRK","MIA","1","0",91,95,1,2
2014-11-19,11,"BRK","MIL","1","0",129,123,1,2
2014-11-22,13,"BRK","SAS","0","0",83,138,1,4
2014-11-30,15,"BRK","CHI","1","0",67,122,1,2
2014-12-02,16,"BRK","NYK","0","1",109,98,1,1
2014-12-05,18,"BRK","ATL","1","0",71,114,1,3
2014-12-08,19,"BRK","CLE","1","0",84,137,1,4
2014-12-10,20,"BRK","CHI","0","0",61,136,1,2
2014-12-12,21,"BRK","PHI","1","1",114,54,1,1
2014-12-16,23,"BRK","MIA","1","0",86,105,1,2
2014-12-17,24,"BRK","TOR","0","0",93,114,1,4
2014-12-21,26,"BRK","DET","1","1",129,115,1,1
2014-12-23,27,"BRK","DEN","1","1",106,102,1,3
2014-12-26,28,"BRK","BOS","0","1",128,112,1,3
2014-12-29,30,"BRK","SAC","1","1",122,98,1,2
2014-12-30,31,"BRK","CHI","0","1",107,90,1,2
2015-01-02,32,"BRK","ORL","0","1",122,97,1,1
2015-01-04,33,"BRK","MIA","0","0",76,108,1,2
2015-01-05,34,"BRK","DAL","1","0",93,108,1,2
2015-01-07,35,"BRK","BOS","1","0",95,86,1,3
2015-01-09,36,"BRK","PHI","1","0",96,99,1,1
2015-01-10,37,"BRK","DET","0","0",92,128,1,1
2015-01-12,38,"BRK","HOU","1","0",104,120,1,4
2015-01-14,39,"BRK","MEM","1","0",85,123,1,1
2015-01-16,40,"BRK","WAS","0","1",116,77,1,3
2015-01-17,41,"BRK","WAS","1","0",83,125,1,3
2015-01-21,42,"BRK","SAC","0","1",112,104,1,2
2015-01-22,43,"BRK","LAC","0","0",71,168,1,4
2015-01-24,44,"BRK","UTA","0","0",60,128,1,2
2015-01-28,45,"BRK","ATL","0","0",109,136,1,3
2015-01-30,46,"BRK","TOR","1","0",135,139,1,4
2015-02-02,47,"BRK","LAC","1","1",98,111,1,4
2015-02-04,48,"BRK","TOR","0","1",123,102,1,4
2015-02-06,49,"BRK","NYK","1","1",115,86,1,1
2015-02-07,50,"BRK","WAS","0","0",69,137,1,3
2015-02-09,51,"BRK","MIL","0","0",104,121,1,2
2015-02-10,52,"BRK","MEM","0","0",74,122,1,1
2015-02-20,53,"BRK","LAL","0","1",130,119,1,1
2015-02-23,54,"BRK","DEN","0","1",146,57,1,3
2015-02-27,56,"BRK","HOU","0","0",105,115,1,4
2015-03-02,58,"BRK","GSW","1","1",115,125,1,4
2015-03-04,59,"BRK","CHO","1","0",77,139,1,3
2015-03-10,62,"BRK","NOP","1","0",95,131,1,4
2015-03-11,63,"BRK","MIA","0","0",96,108,1,2
2015-03-14,64,"BRK","PHI","0","1",103,77,1,1
2015-03-20,67,"BRK","MIL","1","1",142,133,1,2
2015-03-23,69,"BRK","BOS","1","0",98,122,1,3
2015-03-25,70,"BRK","CHO","0","1",109,93,1,3
2015-03-27,71,"BRK","CLE","1","1",114,103,1,4
2015-03-29,72,"BRK","LAL","1","1",138,105,1,1
2015-03-31,73,"BRK","IND","1","1",125,114,1,2
2015-04-01,74,"BRK","NYK","0","1",117,104,1,1
2015-04-03,75,"BRK","TOR","1","1",133,115,1,4
2015-04-06,77,"BRK","POR","1","1",134,93,1,3
2015-04-08,78,"BRK","ATL","1","0",129,140,1,3
2015-04-10,79,"BRK","WAS","1","1",140,85,1,3
2015-04-13,81,"BRK","CHI","1","0",73,138,1,2
2014-10-29,1,"CHO","MIL","1","1",118,113,3,2
2014-11-01,2,"CHO","MEM","1","0",79,58,3,1
2014-11-04,4,"CHO","NOP","0","0",96,124,3,4
2014-11-05,5,"CHO","MIA","1","1",111,83,3,2
2014-11-07,6,"CHO","ATL","1","1",142,111,3,3
2014-11-09,7,"CHO","LAL","0","0",91,122,3,1
2014-11-11,8,"CHO","POR","0","0",106,110,3,3
2014-11-14,9,"CHO","PHO","0","1",120,93,3,1
2014-11-17,11,"CHO","DAL","1","0",72,143,3,2
2014-11-19,12,"CHO","IND","0","0",87,100,3,2
2014-11-23,14,"CHO","MIA","0","0",89,109,3,2
2014-11-24,15,"CHO","LAC","1","0",105,124,3,4
2014-11-29,18,"CHO","ATL","0","0",61,138,3,3
2014-12-05,20,"CHO","NYK","1","1",113,108,3,1
2014-12-10,21,"CHO","BOS","1","1",113,79,3,3
2014-12-12,22,"CHO","MEM","0","0",96,118,3,1
2014-12-17,25,"CHO","PHO","1","0",106,133,3,1
2014-12-22,28,"CHO","DEN","1","1",127,65,3,3
2014-12-23,29,"CHO","MIL","0","1",115,102,3,2
2014-12-26,30,"CHO","OKC","0","0",61,116,3,4
2014-12-29,32,"CHO","MIL","1","0",100,104,3,2
2014-12-31,33,"CHO","HOU","0","0",88,96,3,4
2015-01-02,34,"CHO","CLE","1","0",84,91,3,4
2015-01-03,35,"CHO","ORL","0","1",116,89,3,1
2015-01-05,36,"CHO","BOS","0","1",124,86,3,3
2015-01-07,37,"CHO","NOP","1","1",101,98,3,4
2015-01-08,38,"CHO","TOR","0","1",113,90,3,4
2015-01-10,39,"CHO","NYK","0","1",136,61,3,1
2015-01-14,40,"CHO","SAS","1","0",93,102,3,4
2015-01-17,41,"CHO","IND","1","1",77,71,3,2
2015-01-19,42,"CHO","MIN","1","1",119,77,3,3
2015-01-21,43,"CHO","MIA","1","1",85,68,3,2
2015-01-23,44,"CHO","CLE","0","0",90,164,3,4
2015-01-24,45,"CHO","NYK","1","1",76,59,3,1
2015-01-28,46,"CHO","SAS","0","0",89,116,3,4
2015-01-31,47,"CHO","DEN","0","1",139,73,3,3
2015-02-02,48,"CHO","WAS","0","1",108,89,3,3
